year,gender,age,country,population
2002,Male,21--23,ER,0
2002,Male,21--23,GH,0
2002,Male,21--23,GN,0
2002,Male,21--23,GW,0
2002,Male,21--23,HT,0
2002,Male,21--23,ID,0
2002,Male,21--23,IN,0
2002,Male,21--23,KG,0
2002,Male,21--23,KH,0
2002,Male,21--23,KR,0
2002,Male,21--23,KZ,0
2002,Male,21--23,LA,0
2002,Male,21--23,LK,0
2002,Male,21--23,MD,0
2002,Male,21--23,MG,0
2002,Male,21--23,ML,0
2002,Male,21--23,MM,0
2002,Male,21--23,MX,0
2002,Male,21--23,NE,0
2002,Male,21--23,NG,0
2002,Male,21--23,NP,0
2002,Male,21--23,PH,0
2002,Male,21--23,RO,0
2002,Male,21--23,SL,0
2002,Male,21--23,SN,0
2002,Male,21--23,SV,0
2002,Male,21--23,TH,0
2002,Male,21--23,TJ,0
2002,Male,21--23,TM,0
2002,Male,21--23,UA,0
2002,Male,21--23,UG,0
2002,Male,21--23,US,0
2002,Male,21--23,UZ,0
2002,Male,21--23,Unknown,0
2002,Male,21--23,VN,0
2002,Male,21--23,ZZ,0
2002,Male,24--26,AF,0
2002,Male,24--26,AL,0
2002,Male,24--26,BD,0
2002,Male,24--26,BF,0
2002,Male,24--26,BG,0
2002,Male,24--26,BO,0
2002,Male,24--26,BY,0
2002,Male,24--26,CD,0
2002,Male,24--26,CI,0
2002,Male,24--26,CN,0
2002,Male,24--26,CO,0
2002,Male,24--26,ER,0
2002,Male,24--26,GH,0
2002,Male,24--26,GN,0
2002,Male,24--26,GW,0
2002,Male,24--26,HT,0
2002,Male,24--26,ID,0
2002,Male,24--26,IN,0
2002,Male,24--26,KG,0
2002,Male,24--26,KH,0
2002,Male,24--26,KR,0
2002,Male,24--26,KZ,0
2002,Male,24--26,LA,0
2002,Male,24--26,LK,0
2002,Male,24--26,MD,0
2002,Male,24--26,MG,0
2002,Male,24--26,ML,0
2002,Male,24--26,MM,0
2002,Male,24--26,MX,0
2002,Male,24--26,NE,0
2002,Male,24--26,NG,0
2002,Male,24--26,NP,0
2002,Male,24--26,PH,0
2002,Male,24--26,RO,0
2002,Male,24--26,SL,0
2002,Male,24--26,SN,0
2002,Male,24--26,SV,0
2002,Male,24--26,TH,0
2002,Male,24--26,TJ,0
2002,Male,24--26,TM,0
2002,Male,24--26,UA,0
2002,Male,24--26,UG,0
2002,Male,24--26,US,0
2002,Male,24--26,UZ,0
2002,Male,24--26,Unknown,0
2002,Male,24--26,VN,0
2002,Male,24--26,ZZ,0
2002,Male,27--29,AF,0
2002,Male,27--29,AL,0
2002,Male,27--29,BD,0
2002,Male,27--29,BF,0
2002,Male,27--29,BG,0
2002,Male,27--29,BO,0
2002,Male,27--29,BY,0
2002,Male,27--29,CD,0
2002,Male,27--29,CI,0
2002,Male,27--29,CN,0
2002,Male,27--29,CO,0
2002,Male,27--29,ER,0
2002,Male,27--29,GH,0
2002,Male,27--29,GN,0
2002,Male,27--29,GW,0
2002,Male,27--29,HT,0
2002,Male,27--29,ID,0
2002,Male,27--29,IN,0
2002,Male,27--29,KG,0
2002,Male,27--29,KH,0
2002,Male,27--29,KR,0
2002,Male,27--29,KZ,0
2002,Male,27--29,LA,0
2002,Male,27--29,LK,0
2002,Male,27--29,MD,0
2002,Male,27--29,MG,0
